# name              	length	av.qual	#-reads	mx.cov.	av.cov	GC%	CnIUPAC	CnFunny	CnN	CnX	CnGap	CnNoCov
minuta_c66          	251	63	5	5	3.12	53.78	0	0	0	0	1	0
minuta_c67          	873	69	20	11	6.51	50.41	10	0	0	0	2	0
minuta_c68          	538	57	8	7	3.78	45.94	9	0	0	0	1	0
minuta_c69          	1073	68	31	15	8.09	51.59	3	0	0	0	8	0
minuta_c70          	388	61	6	6	3.45	66.67	1	0	0	0	0	0
minuta_c71          	312	61	8	8	5.73	37.82	0	0	0	0	1	0
minuta_c72          	1068	62	28	16	7.67	59.08	0	0	0	0	8	0
minuta_c73          	480	69	8	8	5.82	45.21	0	0	0	0	2	0
minuta_c74          	958	66	23	15	5.11	34.45	3	0	0	0	3	0
minuta_c75          	1558	51	36	21	3.08	45.81	17	0	0	0	5	0
minuta_c76          	362	69	7	6	5.11	67.22	2	0	0	0	3	0
minuta_c77          	1874	55	21	8	3.10	50.08	26	0	1	0	6	0
minuta_c78          	2208	63	46	11	5.58	39.12	12	0	0	0	11	0
minuta_c79          	504	46	6	6	3.41	50.73	25	0	0	0	1	0
minuta_c80          	2103	59	39	16	5.03	40.19	18	0	0	0	13	0
minuta_c81          	416	55	8	8	4.38	46.96	5	0	0	0	2	0
minuta_c82          	1844	48	27	7	3.58	38.91	4	0	0	0	7	0
minuta_c83          	1129	62	23	16	5.79	72.34	1	0	0	0	4	0
minuta_c84          	2100	68	43	17	5.55	41.54	20	0	0	0	12	0
minuta_c85          	772	43	5	4	1.83	41.26	11	0	0	0	0	0
minuta_c86          	1767	53	28	13	4.28	39.72	12	0	0	0	2	0
minuta_c87          	1271	54	24	8	5.15	52.48	2	0	0	0	2	0
minuta_c88          	911	52	20	14	5.50	40.93	12	0	0	0	6	0
minuta_c89          	1726	59	22	8	3.37	55.44	36	0	0	0	5	0
minuta_c90          	292	63	38	26	9.21	46.05	1	0	0	0	1	0
minuta_c91          	1703	72	31	10	4.89	45.95	12	0	0	0	8	0
minuta_c92          	1184	59	13	7	3.20	56.18	11	0	0	0	2	0
minuta_c93          	627	48	8	6	3.19	43.23	7	0	0	0	2	0
minuta_c94          	850	67	54	37	20.27	45.06	0	0	0	0	6	0
minuta_c95          	2038	44	54	22	6.30	47.37	3	0	0	0	13	0
minuta_c96          	541	44	7	4	1.90	40.41	4	0	0	0	1	0
minuta_c97          	494	41	7	7	4.93	46.96	0	0	0	0	2	0
minuta_c98          	952	44	20	10	3.61	45.71	9	0	0	0	1	0
minuta_c99          	551	60	9	8	3.92	44.73	1	0	0	0	3	0
minuta_c100         	846	51	21	12	5.73	58.63	12	0	0	0	3	0
minuta_c101         	564	56	5	5	2.52	42.91	0	0	0	0	0	0
minuta_c102         	439	46	8	7	2.79	50.34	4	0	0	0	0	0
minuta_c103         	1144	53	18	8	4.19	50.22	3	0	0	0	7	0
minuta_c104         	966	60	38	20	9.45	42.59	1	0	0	0	13	0
minuta_c105         	532	71	43	28	13.24	65.60	0	0	0	0	4	0
minuta_c106         	448	76	8	8	5.43	37.00	2	0	0	0	3	0
minuta_c107         	233	50	5	5	3.44	39.48	0	0	0	0	0	0
minuta_c108         	2302	66	27	11	4.01	53.38	22	0	0	0	5	0
minuta_c109         	447	59	10	10	5.12	50.90	3	0	0	0	1	0
minuta_c110         	238	52	13	9	3.85	43.04	1	0	0	0	3	0
minuta_c111         	1863	62	30	10	4.05	53.92	27	0	0	0	11	0
minuta_c112         	759	61	11	10	4.61	48.20	10	0	0	0	0	0
minuta_c113         	554	52	10	8	3.58	40.22	2	0	0	0	1	0
minuta_c114         	893	56	15	10	4.17	50.11	3	0	0	0	4	0
minuta_c115         	172	51	16	16	11.20	45.93	0	0	0	0	0	0
minuta_c116         	355	46	6	6	2.24	47.73	3	0	0	0	0	0
minuta_c117         	438	58	7	5	3.41	46.30	6	0	0	0	2	0
minuta_c118         	694	58	11	10	4.62	39.74	2	0	0	0	0	0
minuta_c119         	351	66	8	8	4.46	58.97	0	0	0	0	1	0
minuta_c120         	665	47	10	8	4.47	58.50	0	0	0	0	3	0
minuta_c121         	609	36	7	6	5.08	62.89	0	0	0	0	3	0
minuta_c122         	591	52	11	9	4.65	36.67	2	0	0	0	7	0
minuta_c123         	537	50	8	8	3.66	51.87	3	0	0	0	4	0
minuta_c124         	1024	45	14	5	2.23	38.82	9	0	0	0	1	0
minuta_c125         	1021	66	13	7	3.93	46.26	5	0	0	0	6	0
minuta_c126         	433	48	8	7	2.52	72.73	4	0	0	0	1	0
minuta_c127         	784	63	11	9	4.12	40.43	0	0	0	0	2	0
minuta_c128         	649	46	33	16	5.55	44.84	0	0	0	0	6	0
minuta_c129         	651	62	16	11	6.50	52.96	9	0	0	0	3	0
minuta_c130         	758	35	5	3	2.04	42.80	1	0	0	0	2	0
minuta_c131         	651	59	8	6	3.45	49.77	0	0	0	0	1	0
minuta_c132         	598	58	17	11	5.22	36.79	0	0	0	0	6	0
minuta_c133         	461	32	9	9	2.83	39.00	2	0	0	0	3	0
minuta_c134         	1112	46	11	6	2.51	49.09	16	0	0	0	1	0
minuta_c135         	575	60	9	8	3.76	42.65	17	0	0	0	5	0
minuta_c136         	396	58	9	9	6.96	54.29	0	0	0	0	0	0
minuta_c137         	873	47	9	7	2.66	42.58	4	0	0	0	4	0
minuta_c138         	611	51	11	10	4.08	75.33	7	0	0	0	4	0
minuta_c139         	378	62	6	5	3.25	44.27	3	0	0	0	3	0
minuta_c140         	783	57	11	5	3.36	25.86	2	0	0	0	4	0
minuta_c141         	482	59	9	8	3.94	36.32	14	0	0	0	0	0
minuta_c142         	529	61	13	7	3.18	47.16	18	0	0	0	2	0
minuta_c143         	397	37	5	4	1.39	46.60	0	0	0	0	0	0
minuta_c144         	1154	56	14	9	3.50	48.39	5	0	0	0	1	0
minuta_c145         	899	65	16	7	4.24	43.83	7	0	0	0	7	0
minuta_c146         	1049	56	9	6	3.26	61.55	6	0	0	0	3	0
minuta_c147         	654	47	12	9	3.63	37.71	7	0	0	0	4	0
minuta_c148         	555	42	8	7	2.86	44.93	2	0	1	0	2	0
minuta_c149         	650	47	9	9	4.59	44.77	0	0	0	0	3	0
minuta_c150         	892	45	15	11	3.61	35.51	5	0	0	0	10	0
minuta_c151         	630	55	9	5	2.24	53.14	9	0	0	0	0	0
minuta_c152         	874	69	18	11	6.01	36.42	9	0	0	0	7	0
minuta_c153         	952	59	12	6	3.13	42.15	22	0	0	0	4	0
minuta_c154         	237	58	14	9	4.07	45.57	0	0	0	0	2	0
minuta_c155         	953	50	13	8	3.48	40.51	10	0	0	0	7	0
minuta_c156         	505	71	6	6	4.39	68.32	0	0	0	0	0	0
minuta_c157         	786	67	17	10	6.20	49.68	7	0	0	0	2	0
minuta_c158         	981	49	18	12	4.75	33.30	2	0	0	0	4	0
minuta_c159         	359	68	6	5	2.79	56.51	21	0	0	0	0	0
minuta_c160         	777	55	13	7	3.57	58.58	2	0	0	0	14	0
minuta_c161         	409	44	6	5	3.64	63.57	0	0	0	0	0	0
minuta_c162         	883	44	9	8	3.41	60.27	7	0	0	0	3	0
minuta_c163         	822	48	13	8	3.38	41.34	14	0	0	0	2	0
minuta_c164         	659	59	10	10	5.22	44.21	3	0	0	0	4	0
minuta_c165         	640	56	7	7	3.17	58.24	3	0	0	0	1	0
minuta_c166         	1156	70	16	8	3.94	48.30	11	0	0	0	3	0
minuta_c167         	569	58	11	8	3.59	47.36	1	0	0	0	3	0
minuta_c168         	248	53	12	12	4.31	43.32	1	0	0	0	2	0
minuta_c169         	755	43	9	8	3.28	43.05	0	0	0	0	0	0
minuta_c170         	842	63	12	6	3.71	37.41	8	0	0	0	2	0
minuta_c171         	427	59	11	10	4.75	44.05	7	0	0	0	1	0
minuta_c172         	599	46	12	8	4.56	41.78	3	0	0	0	10	0
minuta_c173         	536	68	17	9	5.83	61.01	0	0	0	0	3	0
minuta_c174         	480	51	12	6	3.66	45.53	10	0	0	0	3	0
minuta_c175         	332	46	16	9	3.50	45.62	1	0	0	0	2	0
minuta_c176         	742	57	18	11	6.18	42.38	1	0	0	0	10	0
minuta_c177         	549	59	11	9	4.87	42.99	0	0	0	0	0	0
minuta_c178         	444	43	10	8	4.45	68.02	0	0	0	0	4	0
minuta_c179         	1289	48	14	7	3.59	38.72	3	0	0	0	6	0
minuta_c180         	600	62	13	7	4.42	47.65	4	0	0	0	3	0
minuta_c181         	655	61	12	9	5.62	51.85	7	0	0	0	3	0
minuta_c182         	487	46	10	9	3.68	42.32	12	0	0	0	3	0
minuta_c183         	922	51	10	8	3.62	42.98	3	0	0	0	3	0
minuta_c184         	495	56	12	10	5.96	54.95	0	0	0	0	1	0
minuta_c185         	970	46	18	6	2.70	43.43	19	0	0	0	7	0
minuta_c186         	907	48	11	6	3.24	39.93	3	0	0	0	7	0
minuta_c187         	370	39	16	10	3.03	44.72	1	0	0	0	4	0
minuta_c188         	457	52	9	8	4.36	42.20	21	0	0	0	3	0
minuta_c189         	507	67	10	8	4.92	63.56	2	0	0	0	3	0
minuta_c190         	416	39	10	8	3.94	41.35	0	0	0	0	1	0
minuta_c191         	675	62	10	7	3.65	39.16	6	0	0	0	4	0
minuta_c192         	732	63	14	9	5.94	65.25	4	0	0	0	2	0
minuta_c193         	1025	62	15	10	4.38	45.85	26	0	0	0	5	0
minuta_c194         	806	56	17	9	5.41	34.83	5	0	0	0	10	0
minuta_c195         	1034	63	15	8	4.09	53.20	4	0	0	0	4	0
minuta_c196         	97	36	9	9	8.72	28.87	0	0	0	0	3	0
minuta_c197         	391	45	11	11	9.93	50.13	0	0	0	0	1	0
minuta_c198         	328	73	8	8	7.70	38.11	0	0	0	0	3	0
minuta_c199         	263	73	8	8	7.46	39.92	0	0	0	0	4	0
minuta_c200         	414	40	10	10	8.95	58.21	0	0	0	0	6	0
minuta_c201         	1500	55	25	9	4.61	50.57	3	0	0	0	11	0
minuta_c202         	487	51	8	8	6.05	32.44	0	0	0	0	1	0
minuta_c203         	405	74	10	8	5.17	50.00	3	0	0	0	2	0
minuta_c204         	450	57	8	8	6.38	36.89	0	0	0	0	2	0
minuta_c205         	288	75	8	8	7.02	32.64	0	0	0	0	1	0
minuta_c206         	416	77	7	7	5.46	39.52	1	0	0	0	0	0
minuta_c207         	346	66	7	7	5.17	70.23	0	0	0	0	5	0
minuta_c208         	197	69	7	7	5.30	40.61	0	0	0	0	2	0
minuta_c209         	439	48	10	10	7.24	52.97	1	0	0	0	3	0
minuta_c210         	362	67	10	10	7.49	69.61	0	0	0	0	6	0
minuta_c211         	408	64	8	8	4.52	62.01	0	0	0	0	4	0
minuta_c212         	470	35	7	7	5.17	42.55	0	0	0	0	3	0
minuta_c213         	352	65	6	6	4.89	37.89	1	0	0	0	6	0
minuta_c214         	382	82	5	5	4.91	45.03	0	0	0	0	1	0
minuta_c215         	368	76	8	8	7.76	66.03	0	0	0	0	0	0
minuta_c216         	405	41	8	8	4.08	47.16	0	0	0	0	4	0
minuta_c217         	356	77	6	6	5.86	38.20	0	0	0	0	3	0
minuta_c218         	1567	62	30	11	4.62	40.40	10	0	0	0	13	0
minuta_c219         	410	58	7	7	5.13	41.95	0	0	0	0	6	0
minuta_c220         	269	44	7	7	5.70	41.26	0	0	0	0	5	0
minuta_c221         	443	67	6	6	5.68	33.41	0	0	0	0	4	0
minuta_c222         	217	60	6	6	3.79	53.00	0	0	0	0	2	0
minuta_c223         	425	60	5	5	4.07	29.88	0	0	0	0	3	0
minuta_c224         	397	63	5	5	3.94	44.08	0	0	0	0	3	0
minuta_c225         	441	69	8	8	5.30	48.29	2	0	0	0	1	0
minuta_c226         	314	60	5	5	4.52	40.45	0	0	0	0	2	0
minuta_c227         	361	64	7	7	5.13	30.19	0	0	0	0	4	0
minuta_c228         	346	69	7	7	5.11	61.85	0	0	0	0	3	0
minuta_c229         	371	44	8	8	6.68	59.84	0	0	0	0	2	0
minuta_c230         	118	60	31	26	13.79	41.53	0	0	0	0	4	0
minuta_c231         	448	61	6	6	5.41	38.62	0	0	0	0	6	0
minuta_c232         	425	45	6	6	4.81	39.29	0	0	0	0	2	0
minuta_c233         	442	68	8	8	6.24	38.69	0	0	0	0	2	0
minuta_c234         	535	70	5	5	4.12	54.58	0	0	0	0	3	0
minuta_c235         	461	44	7	6	4.53	44.25	0	0	0	0	1	0
minuta_c236         	784	65	15	12	5.70	47.77	1	0	0	0	5	0
minuta_c237         	343	54	5	5	3.95	70.55	0	0	0	0	5	0
minuta_c238         	360	77	7	7	6.63	38.06	0	0	0	0	1	0
minuta_c239         	796	71	20	10	6.20	51.57	1	0	0	0	5	0
minuta_c240         	627	38	5	5	2.80	53.43	0	0	0	0	2	0
minuta_c241         	270	45	5	5	2.51	53.70	0	0	0	0	0	0
minuta_c242         	466	43	8	8	4.49	41.85	0	0	0	0	2	0
minuta_c243         	304	70	5	5	4.36	45.72	0	0	0	0	4	0
minuta_c244         	493	60	6	6	3.96	66.67	7	0	0	0	4	0
minuta_c245         	776	52	8	7	3.37	41.99	2	0	0	0	0	0
minuta_c246         	529	51	8	8	7.14	66.92	0	0	0	0	4	0
minuta_c247         	372	59	5	5	4.80	29.57	0	0	0	0	2	0
minuta_c248         	407	47	6	6	4.60	40.29	0	0	0	0	1	0
minuta_c249         	458	58	5	5	4.29	50.00	0	0	0	0	3	0
minuta_c250         	224	54	7	6	3.99	39.81	8	0	0	0	0	0
minuta_c251         	329	73	8	7	5.37	59.15	1	0	0	0	0	0
minuta_c252         	506	67	6	6	4.82	50.40	0	0	0	0	4	0
minuta_c253         	505	62	10	9	6.00	60.59	0	0	0	0	2	0
minuta_c254         	382	66	6	6	3.21	74.86	12	0	0	0	4	0
minuta_c255         	258	71	6	5	3.73	63.95	0	0	0	0	5	0
minuta_c256         	426	76	5	5	4.78	62.44	0	0	0	0	2	0
minuta_c257         	393	67	5	5	3.40	64.63	0	0	0	0	2	0
minuta_c258         	473	49	6	6	4.94	60.68	0	0	0	0	6	0
minuta_c259         	1129	73	27	11	7.01	34.72	0	0	0	0	9	0
minuta_c260         	425	44	7	7	5.96	50.82	0	0	0	0	2	0
minuta_c261         	270	71	7	7	6.96	36.67	0	0	0	0	2	0
minuta_c262         	147	38	8	8	7.94	30.61	0	0	0	0	1	0
minuta_c263         	393	63	6	6	5.64	54.71	0	0	0	0	3	0
minuta_c264         	407	54	6	5	4.20	74.00	7	0	0	0	1	0
minuta_c265         	447	52	7	5	3.82	41.39	0	0	0	0	4	0
minuta_c266         	359	50	7	7	6.16	29.25	0	0	0	0	2	0
minuta_c267         	342	37	6	6	3.72	24.93	1	0	0	0	6	0
minuta_c268         	252	39	7	7	6.96	46.43	0	0	0	0	0	0
minuta_c269         	256	64	27	13	6.00	45.88	1	0	0	0	0	0
minuta_c270         	398	34	7	6	3.77	65.83	0	0	0	0	4	0
minuta_c271         	325	71	5	5	4.62	60.92	0	0	0	0	1	0
minuta_c272         	144	78	7	7	6.92	38.89	0	0	0	0	1	0
minuta_c273         	347	76	6	6	5.04	66.86	0	0	0	0	0	0
minuta_c274         	313	70	8	8	7.15	37.06	0	0	0	0	5	0
minuta_c275         	276	57	36	13	7.76	46.01	0	0	0	0	4	0
minuta_c276         	410	61	41	28	8.24	56.51	3	0	0	0	0	0
minuta_c277         	486	59	8	8	6.40	65.84	0	0	0	0	5	0
minuta_c278         	224	42	7	7	2.18	44.39	1	0	0	0	0	0
minuta_c279         	555	44	7	7	3.93	38.56	0	0	0	0	4	0
minuta_c280         	601	39	7	7	3.92	44.59	0	0	0	0	7	0
minuta_c281         	475	47	6	6	4.74	71.58	0	0	0	0	2	0
minuta_c282         	424	46	6	6	4.62	41.51	0	0	0	0	6	0
minuta_c283         	328	46	6	6	4.80	30.15	3	0	0	0	2	0
minuta_c284         	408	45	7	7	6.04	43.14	0	0	0	0	1	0
minuta_c285         	788	64	22	12	6.83	42.26	0	0	0	0	4	0
minuta_c286         	458	38	10	10	4.55	43.68	7	0	0	0	3	0
minuta_c287         	168	48	6	6	2.39	42.26	0	0	0	0	0	0
minuta_c288         	166	40	5	5	2.52	42.42	1	0	0	0	1	0
minuta_c289         	237	40	5	5	4.98	38.40	0	0	0	0	0	0
minuta_c290         	561	53	21	20	11.31	48.84	0	0	0	0	8	0
minuta_c291         	437	63	6	6	3.80	37.76	0	0	0	0	4	0
minuta_c292         	424	66	7	7	4.87	48.22	3	0	0	0	6	0
minuta_c293         	392	47	5	5	2.76	42.09	0	0	0	0	0	0
minuta_c294         	380	60	6	6	5.64	36.05	0	0	0	0	1	0
minuta_c295         	297	42	5	5	4.95	46.80	0	0	0	0	3	0
minuta_c296         	149	41	6	5	2.93	42.95	0	0	0	0	1	0
minuta_c297         	887	59	23	15	5.63	41.95	5	0	0	0	3	0
minuta_c298         	175	49	7	6	3.47	41.62	2	0	0	0	1	0
minuta_c299         	388	79	5	5	4.89	39.18	0	0	0	0	1	0
minuta_c300         	221	39	6	5	2.91	39.09	1	0	0	0	3	0
minuta_c301         	1529	55	49	12	4.31	42.43	4	0	0	0	10	0
minuta_c302         	419	70	5	5	4.40	60.62	0	0	0	0	1	0
minuta_c303         	496	73	20	13	8.44	48.48	3	0	0	0	1	0
minuta_c304         	519	42	8	8	3.52	48.75	0	0	0	0	3	0
minuta_c305         	420	63	6	6	5.58	36.90	0	0	0	0	0	0
minuta_c306         	274	67	28	16	8.16	46.35	0	0	0	0	4	0
minuta_c307         	601	54	39	15	5.28	43.09	0	0	0	0	6	0
minuta_c308         	660	45	8	8	4.69	49.24	0	0	0	0	2	0
minuta_c309         	369	82	8	8	7.63	35.50	0	0	0	0	1	0
minuta_c310         	463	73	8	8	6.02	46.22	0	0	0	0	2	0
minuta_c311         	476	55	11	8	4.04	40.09	7	0	0	0	0	0
minuta_c312         	525	45	21	10	5.22	41.98	0	0	1	0	6	0
minuta_c313         	497	53	9	8	4.48	63.18	0	0	0	0	1	0
minuta_c314         	603	60	19	7	4.38	42.52	1	0	0	0	10	0
minuta_c315         	472	51	7	4	2.60	48.60	7	0	0	0	1	0
minuta_c316         	553	49	5	4	2.20	40.76	0	0	1	0	0	0
minuta_c317         	465	65	6	6	4.13	61.51	0	0	0	0	3	0
minuta_c318         	428	59	5	5	3.20	41.97	11	0	0	0	2	0
minuta_c319         	355	70	7	7	6.28	69.58	0	0	0	0	1	0
minuta_c320         	315	77	8	7	5.80	38.41	0	0	0	0	0	0
minuta_c321         	348	59	6	6	5.49	68.97	0	0	0	0	3	0
minuta_c322         	512	65	7	7	5.66	67.77	0	0	0	0	0	0
minuta_c323         	574	62	6	6	3.10	60.35	4	0	0	0	5	0
minuta_c324         	294	42	5	5	4.20	43.54	0	0	0	0	5	0
minuta_c325         	342	63	5	5	4.10	39.12	2	0	0	0	1	0
minuta_c326         	399	69	6	6	5.23	36.34	0	0	0	0	1	0
minuta_c327         	281	82	7	7	6.99	37.72	0	0	0	0	0	0
minuta_c328         	294	70	5	5	4.46	37.07	0	0	0	0	3	0
minuta_c329         	194	45	7	7	3.62	46.91	0	0	0	0	1	0
minuta_c330         	318	33	5	5	3.00	59.94	1	0	0	0	5	0
minuta_c331         	141	64	7	7	4.48	34.04	0	0	0	0	1	0
minuta_c332         	467	65	5	5	3.87	66.38	0	0	0	0	0	0
minuta_c333         	419	60	5	5	4.62	37.71	0	0	0	0	2	0
minuta_c334         	385	44	5	5	4.05	41.56	0	0	0	0	2	0
minuta_c335         	304	53	6	6	4.83	35.20	0	0	0	0	2	0
minuta_c336         	394	50	5	5	4.08	67.77	0	0	0	0	4	0
minuta_c337         	440	65	6	5	4.43	44.55	0	0	0	0	3	0
minuta_c338         	472	46	5	5	3.89	61.02	0	0	0	0	2	0
minuta_c339         	332	50	5	5	2.37	53.78	1	0	0	0	0	0
minuta_c340         	865	50	7	4	2.68	38.52	3	0	0	0	3	0
minuta_c341         	467	63	6	6	4.43	65.38	2	0	0	0	4	0
minuta_c342         	469	56	5	5	3.12	54.58	0	0	0	0	0	0
minuta_c343         	332	75	7	7	5.76	40.96	0	0	0	0	3	0
minuta_c344         	162	61	7	7	5.52	49.38	0	0	0	0	0	0
minuta_c345         	364	71	5	5	4.46	38.74	0	0	0	0	1	0
minuta_c346         	224	39	8	8	7.38	34.38	0	0	0	0	2	0
minuta_c347         	296	68	5	5	3.86	45.27	0	0	0	0	0	0
minuta_c348         	87	73	6	6	4.45	51.72	0	0	0	0	0	0
minuta_c349         	346	39	5	5	4.96	40.46	0	0	0	0	2	0
minuta_c350         	422	50	6	6	4.72	47.16	0	0	0	0	7	0
minuta_c351         	400	72	8	7	5.19	72.43	1	0	0	0	3	0
minuta_c352         	383	72	8	7	6.03	43.86	0	0	0	0	4	0
minuta_c353         	286	70	5	5	4.47	38.11	0	0	0	0	1	0
minuta_c354         	408	56	6	6	4.55	33.33	0	0	0	0	3	0
minuta_c355         	342	54	6	6	4.77	40.06	0	0	0	0	1	0
minuta_c356         	420	72	8	7	5.00	34.05	0	0	0	0	4	0
minuta_c357         	453	66	7	7	5.00	34.66	0	0	0	0	1	0
minuta_c358         	254	69	6	6	5.08	35.04	0	0	0	0	2	0
minuta_c359         	598	42	5	5	2.24	47.16	0	0	0	0	0	0
minuta_c360         	367	41	6	6	3.98	70.30	0	0	0	0	5	0
minuta_c361         	434	50	9	9	5.35	46.82	9	0	0	0	2	0
minuta_c362         	347	37	8	5	2.60	45.53	0	0	0	0	1	0
minuta_c363         	245	39	5	5	3.04	51.02	0	0	0	0	1	0
minuta_c364         	519	57	7	7	4.88	42.77	0	0	0	0	5	0
minuta_c365         	875	61	9	6	3.06	36.34	11	0	0	0	3	0
minuta_c366         	331	44	5	5	4.07	37.46	0	0	0	0	1	0
minuta_c367         	1182	58	23	9	6.58	47.88	0	0	0	0	8	0
minuta_c368         	95	56	5	5	4.16	45.26	0	0	0	0	0	0
minuta_c369         	375	48	7	7	3.76	39.73	5	0	0	0	2	0
minuta_c370         	409	58	6	6	3.58	33.00	12	0	0	0	4	0
minuta_c371         	358	74	5	5	4.78	41.62	0	0	0	0	3	0
minuta_c372         	307	37	6	6	5.46	45.93	0	0	0	0	1	0
minuta_c373         	658	35	7	6	3.26	37.84	0	0	0	0	1	0
minuta_c374         	430	49	6	6	3.42	50.59	7	0	0	0	1	0
minuta_c375         	366	38	7	7	5.71	46.72	0	0	0	0	4	0
minuta_c376         	417	53	8	8	5.05	40.05	0	0	0	0	2	0
minuta_c377         	1687	60	30	15	4.90	48.00	10	0	0	0	18	0
minuta_c378         	386	69	7	7	4.83	42.75	0	0	0	0	2	0
minuta_c379         	367	56	6	6	5.01	43.87	0	0	0	0	1	0
minuta_c380         	669	42	9	8	2.62	30.88	2	0	0	0	6	0
minuta_c381         	410	52	5	5	4.03	43.66	0	0	0	0	1	0
minuta_c382         	824	73	23	14	6.82	55.24	4	0	0	0	5	0
minuta_c383         	355	63	5	5	4.90	49.58	0	0	0	0	2	0
